HH_ID,stratum_ID,st,wave,year,hh_members,weather_TV,weather_rad,weather_NP,weather_web,weather_oth,evac,warning,beach_flag,fresh_fish,salt_fish,hh_phn_1,hh_desc,hh_years,boat_trips_HH,shore_trips_HH,final_wt,nrv_edit,imp_HH_members
4377137769,2023_2_1_1_1,1,2,2023,2,1,1,1,1,0,0,3,1,1,1,1,1,3,0,0,165.87766504,,
4377137776,2023_2_1_1_1,1,2,2023,2,1,0,0,1,0,0,1,0,1,0,1,2,3,0,0,65.388587277,,
4377137777,2023_2_1_1_1,1,2,2023,3,1,0,0,1,0,0,1,1,1,0,1,2,3,0,0,143.66468084,,
4377137778,2023_2_1_1_1,1,2,2023,2,1,1,0,0,0,0,1,1,1,1,1,2,3,0,2.0043345523,65.388587277,,
4377137785,2023_2_1_1_1,1,2,2023,2,1,1,0,1,0,1,1,1,1,1,2,2,3,1.9956654477,0,155.98596071,,
4377137786,2023_2_1_1_1,1,2,2023,2,1,1,0,1,0,0,1,1,0,1,1,1,3,0,1.0021672761,141.89055908,,
4377137788,2023_2_1_1_1,1,2,2023,2,1,1,0,1,0,0,2,1,0,1,1,1,3,0,0,55.932926257,,
4377137790,2023_2_1_1_1,1,2,2023,1,1,0,0,0,0,0,1,0,1,1,5,2,3,0,0,189.98435705,,1
4377137793,2023_2_1_1_1,1,2,2023,2,1,1,0,1,0,0,1,1,0,1,1,1,3,1.9956654477,3.0065018284,141.89055908,,
4377137796,2023_2_1_1_1,1,2,2023,2,1,1,0,1,0,1,2,1,1,1,3,2,3,19.956654477,13.02817459,133.42926649,,
4377137802,2023_2_1_1_1,1,2,2023,3,1,1,0,1,0,0,1,1,1,1,1,2,2,0,0,167.95170842,,
4377137803,2023_2_1_1_1,1,2,2023,1,0,0,0,1,0,0,1,1,1,1,1,3,2,0,0,171.03090026,,
4377137810,2023_2_1_1_1,1,2,2023,4,1,0,0,1,0,1,1,1,1,1,1,1,2,0,0,171.78759924,,
4377137813,2023_2_1_1_1,1,2,2023,2,1,1,0,1,0,0,1,1,1,0,1,1,3,0,0,165.87766504,,
4377137820,2023_2_1_1_1,1,2,2023,4,0,0,0,1,0,1,1,1,1,1,1,1,2,0,0,171.78759924,,
4377137821,2023_2_1_1_1,1,2,2023,5,1,1,0,1,0,0,1,1,0,0,1,2,3,0,0,79.166284911,,
4377137825,2023_2_1_1_1,1,2,2023,2,0,1,0,1,0,0,1,1,1,1,1,1,3,0.9978327239,4.0086691046,165.87766504,,
4377137827,2023_2_1_1_1,1,2,2023,3,0,0,0,0,1,0,1,1,1,1,1,1,3,0,0,200.82890666,,
4377137829,2023_2_1_1_1,1,2,2023,1,0,1,0,1,0,0,2,1,1,1,1,1,2,0,0,236.18627583,,
4377137830,2023_2_1_1_1,1,2,2023,2,1,0,0,1,0,0,1,1,1,1,2,1,3,0,5.0108363807,338.48315272,,
4377137839,2023_2_1_1_1,1,2,2023,2,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,165.87766504,,
4377137843,2023_2_1_1_1,1,2,2023,2,1,1,0,0,0,0,-3,1,0,1,3,2,3,0,0,133.42926649,,
4377137845,2023_2_1_1_1,1,2,2023,2,1,0,0,1,0,0,1,1,0,1,1,1,2,0,6.0130036569,165.87766504,,
4377137847,2023_2_1_1_1,1,2,2023,5,0,0,0,1,0,0,1,1,1,1,1,1,3,14.967490858,0,79.166284911,,
4377137849,2023_2_1_1_1,1,2,2023,2,1,0,0,1,0,0,1,1,0,1,1,2,3,4.9891636193,0,65.388587277,,
4377137851,2023_2_1_1_1,1,2,2023,3,1,0,0,1,0,1,1,1,1,1,1,1,3,4.9891636193,2.0043345523,143.66468084,,
4377137853,2023_2_1_1_1,1,2,2023,1,1,0,0,1,0,0,1,1,0,1,2,2,3,0,0,222.10189138,,
4377137854,2023_2_1_1_1,1,2,2023,2,1,0,0,0,0,0,1,1,1,1,1,1,2,0,0,65.388587277,,
4377137855,2023_2_1_1_1,1,2,2023,3,0,0,0,1,0,0,2,1,0,1,1,1,2,9.9783272385,10.021672761,171.78759924,,
4377137857,2023_2_1_1_1,1,2,2023,4,0,0,0,1,0,1,2,1,1,1,1,2,3,0,11.023840038,200.82890666,,
4377137858,2023_2_1_1_1,1,2,2023,6,1,0,0,1,0,0,1,1,0,1,1,4,2,0,6.0130036569,78.716387436,,
4377137860,2023_2_1_1_1,1,2,2023,1,1,0,0,1,0,0,1,0,0,1,1,2,3,0,0,93.104077077,,
4377137863,2023_2_1_1_1,1,2,2023,2,1,0,0,1,0,0,1,1,1,1,1,2,3,3.9913308954,0,141.89055908,,
4377137873,2023_2_1_1_1,1,2,2023,2,1,0,0,1,0,0,1,1,0,1,1,1,2,0,0,65.388587277,,
4377137875,2023_2_1_1_1,1,2,2023,2,1,0,0,1,0,0,1,1,0,1,1,2,3,5.9869963431,0,55.932926257,,
4377137879,2023_2_1_1_1,1,2,2023,4,0,0,0,1,0,0,1,1,0,1,1,1,3,0,4.0086691046,200.82890666,,
4377137881,2023_2_1_1_1,1,2,2023,4,1,0,0,1,0,0,2,1,0,1,1,1,2,5.9869963431,2.0043345523,143.66468084,,
4377137882,2023_2_1_1_1,1,2,2023,2,1,0,0,1,0,0,1,1,1,1,2,2,3,1.9956654477,0,338.48315272,,
4377137884,2023_2_1_1_1,1,2,2023,6,0,1,0,1,1,1,2,1,1,1,1,1,2,2.9934981716,0,200.82890666,,
4377137886,2023_2_1_1_1,1,2,2023,1,1,0,0,1,0,0,1,1,1,1,1,1,2,0,2.0043345523,93.104077077,,
4377137887,2023_2_1_1_1,1,2,2023,2,1,1,0,0,0,0,1,1,1,1,2,1,3,3.9913308954,0,133.42926649,,
4377137890,2023_2_1_1_1,1,2,2023,2,0,0,0,1,0,0,1,1,0,1,1,1,3,0,40.086691046,65.388587277,,
4377137891,2023_2_1_1_1,1,2,2023,1,1,0,0,1,0,0,1,1,0,1,3,2,3,0,0,222.10189138,,
4377137896,2023_2_1_1_1,1,2,2023,3,1,1,0,0,0,0,1,0,1,1,-3,1,3,0,3.0065018284,83.157376664,,
4377137898,2023_2_1_1_1,1,2,2023,4,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,200.82890666,,
4377137901,2023_2_1_1_1,1,2,2023,3,1,0,0,1,0,1,1,1,1,1,1,2,3,0,24.052014628,66.206170322,,
4377137908,2023_2_1_1_1,1,2,2023,1,1,0,0,0,0,0,1,0,0,0,1,2,3,0,0,93.104077077,,
4377137915,2023_2_1_1_1,1,2,2023,4,0,0,0,0,1,0,2,1,1,1,1,3,3,0,0,315.57144085,,
4377137916,2023_2_1_1_1,1,2,2023,3,1,0,0,1,0,0,1,1,0,1,1,1,2,0,0,66.206170322,,
4377137917,2023_2_1_1_1,1,2,2023,2,0,0,0,1,0,0,1,1,0,1,1,1,2,0,4.0086691046,65.388587277,,
4377137919,2023_2_1_1_1,1,2,2023,2,1,0,0,1,0,0,1,1,0,1,1,2,1,0,12.026007314,141.89055908,,
4377137921,2023_2_1_1_1,1,2,2023,2,1,1,0,1,1,0,1,1,1,1,1,3,3,14.967490858,8.0173382092,304.71497355,,
4377137923,2023_2_1_1_1,1,2,2023,3,1,0,0,0,0,0,1,0,0,1,1,1,3,0,10.021672761,66.206170322,,
4377137924,2023_2_1_1_1,1,2,2023,2,1,0,0,1,0,0,1,1,0,1,1,2,3,0,0,55.932926257,,
4377137927,2023_2_1_1_1,1,2,2023,2,1,1,0,1,0,0,1,0,0,0,1,2,3,0,0,55.932926257,,
4377137928,2023_2_1_1_1,1,2,2023,4,0,0,0,0,1,0,1,1,0,1,1,1,3,0,0,143.66468084,,
4377137930,2023_2_1_1_1,1,2,2023,2,1,0,0,0,1,0,2,1,1,1,1,1,3,0,0,141.89055908,,
4377137933,2023_2_1_1_1,1,2,2023,5,1,1,0,1,0,0,2,1,1,1,2,2,3,2.9934981716,0,409.80322136,,
4377137934,2023_2_1_1_1,1,2,2023,2,1,0,0,1,0,0,1,1,0,1,1,2,2,5.9869963431,0,141.89055908,,
4377137942,2023_2_1_1_1,1,2,2023,2,0,0,0,1,0,0,1,1,1,1,1,-3,2,0,8.0173382092,164.93499174,,
4377137946,2023_2_1_1_1,1,2,2023,5,0,0,0,1,0,0,1,1,1,1,1,1,2,0,0,200.82890666,,
4377137948,2023_2_1_1_1,1,2,2023,2,1,0,0,1,0,0,2,1,0,1,1,1,1,0,30.065018284,165.87766504,,
4377137955,2023_2_1_1_1,1,2,2023,4,1,1,0,0,0,0,1,1,1,1,1,2,3,33.926312611,12.026007314,67.718269508,,
