HH_ID,person_ID,stratum_ID,year,wave,st,age,sex,raceethn,boat_trips,shore_trips,imp_shore_trips_2,imp_boat_trips_2,final_wt
4374699805,1,2023_1_1_1_1,2023,1,1,48,2,1,0,14.996213053,,,120.15705991
4374699809,1,2023_1_1_1_1,2023,1,1,48,2,1,0,0,,,56.363725938
4374699815,1,2023_1_1_1_1,2023,1,1,59,1,1,2.0005049263,1.9994950737,,,62.868251942
4374699817,1,2023_1_1_1_1,2023,1,1,67,1,1,1.0002524632,0.9997475368,,,24.740403803
4374699818,1,2023_1_1_1_1,2023,1,1,67,1,1,0,0,,,66.887800355
4374699820,1,2023_1_1_1_1,2023,1,1,58,2,1,0,0,,,152.33977431
4374699823,1,2023_1_1_1_1,2023,1,1,62,2,1,0,0,,,122.29066426
4374699824,1,2023_1_1_1_1,2023,1,1,66,2,1,0,0,,,103.28413279
4374699825,1,2023_1_1_1_1,2023,1,1,77,1,1,0,0,,,23.825968938
4374699826,1,2023_1_1_1_1,2023,1,1,60,2,1,0,0,,,60.544566283
4374699829,1,2023_1_1_1_1,2023,1,1,42,2,1,0,0.9997475368,,,148.7238119
4374699830,1,2023_1_1_1_1,2023,1,1,69,1,2,0,0,,,21.913590983
4374699833,1,2023_1_1_1_1,2023,1,1,69,2,1,0,1.9994950737,,,18.383938087
4374699836,1,2023_1_1_1_1,2023,1,1,58,1,1,1.0002524632,0,,,57.82216717
4374699838,1,2023_1_1_1_1,2023,1,1,57,1,1,0,0,,,60.544566283
4374699845,1,2023_1_1_1_1,2023,1,1,58,1,1,0,7.9979802948,,,142.592444
4374699851,1,2023_1_1_1_1,2023,1,1,63,2,1,0,0,,,21.913590983
4374699860,1,2023_1_1_1_1,2023,1,1,26,2,1,0,0,,,74.93874013
4374699861,1,2023_1_1_1_1,2023,1,1,71,1,1,0,0,,,23.825968938
4374699865,1,2023_1_1_1_1,2023,1,1,56,1,1,0,5.9984852211,,,62.868251942
4374699868,1,2023_1_1_1_1,2023,1,1,61,1,1,2.0005049263,7.9979802948,,,142.592444
4374699871,1,2023_1_1_1_1,2023,1,1,72,1,1,0,0,,,17.704445785
4374699878,1,2023_1_1_1_1,2023,1,1,55,2,1,0,0,,,44.989061898
4374699881,1,2023_1_1_1_1,2023,1,1,55,1,1,0,0,,,60.544566283
4374699883,1,2023_1_1_1_1,2023,1,1,73,1,2,0,0,,,254.85850325
4374699885,1,2023_1_1_1_1,2023,1,1,42,1,1,21.005301726,1.9994950737,,,120.15705991
4374699889,1,2023_1_1_1_1,2023,1,1,40,1,1,0,0,,,60.544566283
4374699890,1,2023_1_1_1_1,2023,1,1,40,1,5,0,0,,,143.22680223
4374699902,1,2023_1_1_1_1,2023,1,1,49,1,3,0,0,,,143.22680223
4374699908,1,2023_1_1_1_1,2023,1,1,28,2,1,0,0,,,44.989061898
4374699910,1,2023_1_1_1_1,2023,1,1,44,2,1,0,0.9997475368,,,120.15705991
4374699914,1,2023_1_1_1_1,2023,1,1,49,1,1,0,0,1,,55.68499083
4374699917,1,2023_1_1_1_1,2023,1,1,62,1,1,0,0,,,137.32205701
4374699918,1,2023_1_1_1_1,2023,1,1,46,1,1,0,0,,,143.22680223
4374699920,1,2023_1_1_1_1,2023,1,1,52,2,1,0,0,,,324.85490126
4374699931,1,2023_1_1_1_1,2023,1,1,44,1,1,0,0,,,49.702550949
4374699933,1,2023_1_1_1_1,2023,1,1,54,2,1,4.0010098526,0,,,62.868251942
4374699935,1,2023_1_1_1_1,2023,1,1,50,1,1,0,4.9987376842,,,120.15705991
4374699937,1,2023_1_1_1_1,2023,1,1,64,2,1,6.0015147789,0,,,77.814870663
4374699939,1,2023_1_1_1_1,2023,1,1,69,1,1,0,0,,,49.702550949
4374699943,1,2023_1_1_1_1,2023,1,1,51,1,1,4.0010098526,1.9994950737,,,62.868251942
4374699944,1,2023_1_1_1_1,2023,1,1,38,1,1,0,0,,,143.22680223
4374699947,1,2023_1_1_1_1,2023,1,1,65,1,1,7.0017672421,0,,,24.740403803
4374699948,1,2023_1_1_1_1,2023,1,1,70,1,1,0,0,,,66.887800355
4374699949,1,2023_1_1_1_1,2023,1,1,44,1,1,10.002524632,0,,,120.15705991
4374699952,1,2023_1_1_1_1,2023,1,1,51,2,1,0,0,,,105.95666438
4374699954,1,2023_1_1_1_1,2023,1,1,31,2,1,0,0,,,143.22680223
4374699955,1,2023_1_1_1_1,2023,1,1,75,1,1,15.003786947,0,,,24.740403803
4374699956,1,2023_1_1_1_1,2023,1,1,52,1,1,0,0,,,44.989061898
4374699960,1,2023_1_1_1_1,2023,1,1,63,2,3,0,2.9992426105,,1,57.82216717
4374699962,1,2023_1_1_1_1,2023,1,1,43,1,1,0,0,,,143.22680223
4374699966,1,2023_1_1_1_1,2023,1,1,42,1,1,0,0,,,143.22680223
