mode,month,dtrip,dtrip_y2,expansion_factor,draw
fh,1,0,0,1,1
pr,1,0,0,1,1
sh,1,0,0,1,1
fh,2,0,0,1,1
pr,2,0,0,1,1
sh,2,0,0,1,1
fh,3,0,0,1,1
pr,3,0,0,1,1
sh,3,0,0,1,1
fh,4,0,0,1,1
pr,4,6919.597412109375,6919.597412109375,1,1
sh,4,11535.8994140625,11535.8994140625,1,1
fh,5,800.5294532775879,817.0548362731934,1.0206431,1
pr,5,42480.61553955078,45368.83520507813,1.0679891,1
sh,5,30778.37619018555,31979.18786621094,1.0390148,1
fh,6,679.6173191070557,672.2856712341309,.9892121,1
pr,6,66102.04284667969,65212.56201171875,.98654383,1
sh,6,268885.6860351563,261327.224609375,.97188967,1
fh,7,3463.410736083984,3502.115135192871,1.0111753,1
pr,7,187986.16796875,181758.45703125,.96687144,1
sh,7,267845.265625,257020.294921875,.95958501,1
fh,8,853.1890869140625,914.1311645507813,1.0714285,1
pr,8,253715.1435546875,268075.861328125,1.0566018,1
sh,8,354948.1943359375,367813.86328125,1.0362467,1
fh,9,840.7544746398926,846.0769443511963,1.0063306,1
pr,9,140546.228515625,135334.0952148438,.96291518,1
sh,9,52912.2734375,50288.48699951172,.95041251,1
fh,10,3010.067810058594,3105.049575805664,1.0315547,1
pr,10,69358.4130859375,71016.10327148438,1.0239004,1
sh,10,32663.16333007813,35175.71435546875,1.0769231,1
fh,11,531.5722823143005,601.9606065750122,1.1324153,1
pr,11,104071.2524414063,85705.7373046875,.82352942,1
sh,11,0,0,1,1
fh,12,646.135139465332,775.3621673583984,1.2,1
pr,12,0,0,1,1
sh,12,0,0,1,1
fh,1,0,0,1,2
pr,1,0,0,1,2
sh,1,0,0,1,2
fh,2,0,0,1,2
pr,2,0,0,1,2
sh,2,0,0,1,2
fh,3,0,0,1,2
pr,3,0,0,1,2
sh,3,0,0,1,2
fh,4,0,0,1,2
pr,4,2289.15966796875,2289.15966796875,1,2
sh,4,8781.495849609375,8781.495849609375,1,2
fh,5,1383.274070739746,1397.987590789795,1.0106367,2
pr,5,1766.94100189209,1663.003295898438,.94117647,2
sh,5,22826.08297729492,23495.42834472656,1.0293237,2
