mode,month,dtrip,dtrip_y2,expansion_factor,draw,state
fh,1,0,0,1,1,CT
pr,1,0,0,1,1,CT
sh,1,0,0,1,1,CT
fh,2,0,0,1,1,CT
pr,2,0,0,1,1,CT
sh,2,0,0,1,1,CT
fh,3,0,0,1,1,CT
pr,3,0,0,1,1,CT
sh,3,0,0,1,1,CT
fh,4,0,0,1,1,CT
pr,4,0,0,1,1,CT
sh,4,0,0,1,1,CT
fh,5,1535.530204772949,1459.180488586426,.95027792,1,CT
pr,5,31265.55810546875,35732.06640625,1.1428572,1,CT
sh,5,16726.73755645752,18937.26732635498,1.1321554,1,CT
fh,6,2982.97595500946,3559.464168548584,1.1932595,1,CT
pr,6,123761.5173339844,124701.6767578125,1.0075965,1,CT
sh,6,9641.3818359375,11569.658203125,1.2,1,CT
fh,7,5946.537841796875,5946.537841796875,1,1,CT
pr,7,85874.30853271484,85874.30853271484,1,1,CT
sh,7,290633.2421875,290633.2421875,1,1,CT
fh,8,5548.228042602539,5548.228042602539,1,1,CT
pr,8,110444.5959472656,110444.5959472656,1,1,CT
sh,8,122122.9423828125,122122.9423828125,1,1,CT
fh,9,3514.043144226074,3643.951557159424,1.0369684,1,CT
pr,9,100421.8310546875,94780.06469726563,.94381934,1,CT
sh,9,38269.49658203125,36586.28533935547,.9560169,1,CT
fh,10,1797.417922973633,1897.771217346191,1.0558319,1,CT
pr,10,68914.70239257813,71657.75927734375,1.0398036,1,CT
sh,10,30852.00561523438,35598.46801757813,1.1538461,1,CT
fh,11,0,0,1,1,CT
pr,11,0,0,1,1,CT
sh,11,0,0,1,1,CT
fh,12,0,0,1,1,CT
pr,12,0,0,1,1,CT
sh,12,0,0,1,1,CT
fh,1,0,0,1,2,CT
pr,1,0,0,1,2,CT
sh,1,0,0,1,2,CT
fh,2,0,0,1,2,CT
pr,2,0,0,1,2,CT
sh,2,0,0,1,2,CT
fh,3,0,0,1,2,CT
pr,3,0,0,1,2,CT
sh,3,0,0,1,2,CT
fh,4,0,0,1,2,CT
pr,4,0,0,1,2,CT
sh,4,22423.5234375,22423.5234375,1,2,CT
fh,5,1705.695625305176,1688.248840332031,.98977143,2,CT
pr,5,13833.61242675781,15809.8427734375,1.1428572,2,CT
sh,5,4302.967948913574,4484.993232727051,1.0423023,2,CT
fh,6,4230.021729469299,5007.231067657471,1.1837364,2,CT
pr,6,123999.8767089844,117284.1430664063,.94584078,2,CT
sh,6,54079.55200195313,47457.88330078125,.87755686,2,CT
fh,7,9089.615447998047,9089.615447998047,1,2,CT
pr,7,97997.62890625,97997.62890625,1,2,CT
sh,7,95001.23974609375,95001.23974609375,1,2,CT
fh,8,6251.612319946289,6251.612319946289,1,2,CT
pr,8,199073.1391601563,199073.1391601563,1,2,CT
sh,8,150221.2106933594,150221.2106933594,1,2,CT
fh,9,2461.126678466797,2450.942817687988,.99586213,2,CT
pr,9,78179.158203125,72594.9326171875,.9285714,2,CT
sh,9,29805.56372070313,28941.67370605469,.97101581,2,CT
fh,10,1370.049682617188,1404.844772338867,1.0253969,2,CT
pr,10,65765.95751953125,70572.22705078125,1.0730814,2,CT
sh,10,26380.57690429688,30439.12719726563,1.1538461,2,CT
fh,11,0,0,1,2,CT
pr,11,0,0,1,2,CT
sh,11,0,0,1,2,CT
fh,12,0,0,1,2,CT
pr,12,0,0,1,2,CT
sh,12,0,0,1,2,CT
fh,1,0,0,1,3,CT
pr,1,0,0,1,3,CT
sh,1,0,0,1,3,CT
fh,2,0,0,1,3,CT
pr,2,0,0,1,3,CT
sh,2,0,0,1,3,CT
fh,3,0,0,1,3,CT
pr,3,0,0,1,3,CT
sh,3,0,0,1,3,CT
fh,4,0,0,1,3,CT
pr,4,0,0,1,3,CT
sh,4,33676.86328125,33676.86328125,1,3,CT
fh,5,1958.195903778076,2008.455265045166,1.0256661,3,CT
pr,5,20972.888671875,23969.015625,1.1428572,3,CT
sh,5,19993.54052734375,22099.93188476563,1.1053536,3,CT
fh,6,3996.376547813416,4764.776836395264,1.1922742,3,CT
pr,6,137590.5432128906,142424.54296875,1.0351332,3,CT
sh,6,126129.3786621094,105213.8012695313,.83417362,3,CT
fh,7,4543.980102539063,4543.980102539063,1,3,CT
pr,7,93942.8447265625,93942.8447265625,1,3,CT
sh,7,189773.8935546875,189773.8935546875,1,3,CT
fh,8,6948.372085571289,6948.372085571289,1,3,CT
pr,8,105561.9462890625,105561.9462890625,1,3,CT
sh,8,34207.49951171875,34207.49951171875,1,3,CT
fh,9,2499.84733581543,2505.980949401855,1.0024536,3,CT
pr,9,60258.388671875,57395.51208496094,.95248997,3,CT
sh,9,24328.85327148438,23078.10899353027,.9485901,3,CT
fh,10,1298.553619384766,1323.243309020996,1.0190132,3,CT
pr,10,60171.55688476563,64161.103515625,1.0663029,3,CT
sh,10,25140.51782226563,29008.28979492188,1.1538461,3,CT
fh,11,0,0,1,3,CT
pr,11,0,0,1,3,CT
sh,11,0,0,1,3,CT
fh,12,0,0,1,3,CT
pr,12,0,0,1,3,CT
sh,12,0,0,1,3,CT
fh,1,0,0,1,4,CT
pr,1,0,0,1,4,CT
sh,1,0,0,1,4,CT
fh,2,0,0,1,4,CT
pr,2,0,0,1,4,CT
sh,2,0,0,1,4,CT
fh,3,0,0,1,4,CT
pr,3,0,0,1,4,CT
