mode,month,dtrip,dtrip_y2,expansion_factor,draw,state
fh,1,0,0,1,1,DE
pr,1,0,0,1,1,DE
sh,1,0,0,1,1,DE
fh,2,0,0,1,1,DE
pr,2,0,0,1,1,DE
sh,2,0,0,1,1,DE
fh,3,0,0,1,1,DE
pr,3,0,0,1,1,DE
sh,3,0,0,1,1,DE
fh,4,21.29580402374268,21.29580402374268,1,1,DE
pr,4,11344.79663085938,11344.79663085938,1,1,DE
sh,4,10703.20156860352,10703.20156860352,1,1,DE
fh,5,76.64862096309662,82.26466333866119,1.07327,1,DE
pr,5,14511.34352874756,16218.64072418213,1.1176525,1,DE
sh,5,4484.790523529053,5045.449771881104,1.1250135,1,DE
fh,6,1066.054000854492,988.3353652954102,.9270969,1,DE
pr,6,152564.7473144531,135499.6157226563,.88814497,1,DE
sh,6,52259.13848876953,59624.03393554688,1.1409303,1,DE
fh,7,2229.510971069336,2229.510971069336,1,1,DE
pr,7,77019.31744384766,77019.31744384766,1,1,DE
sh,7,30563.525390625,30563.525390625,1,1,DE
fh,8,1161.339942932129,1161.339942932129,1,1,DE
pr,8,69109.66052246094,69109.66052246094,1,1,DE
sh,8,66824.81616210938,66824.81616210938,1,1,DE
fh,9,67.60650682449341,68.93039679527283,1.0195823,1,DE
pr,9,27858.91918945313,27872.78192138672,1.0004976,1,DE
sh,9,49439.78076171875,48316.22412109375,.97727424,1,DE
fh,10,117.6425552368164,120.0765490531921,1.0206897,1,DE
pr,10,10405.6852722168,11197.53527832031,1.0760978,1,DE
sh,10,0,0,1,1,DE
fh,11,0,0,1,1,DE
pr,11,0,0,1,1,DE
sh,11,0,0,1,1,DE
fh,12,0,0,1,1,DE
pr,12,0,0,1,1,DE
sh,12,0,0,1,1,DE
fh,1,0,0,1,2,DE
pr,1,0,0,1,2,DE
sh,1,0,0,1,2,DE
fh,2,0,0,1,2,DE
pr,2,0,0,1,2,DE
sh,2,0,0,1,2,DE
fh,3,0,0,1,2,DE
pr,3,0,0,1,2,DE
sh,3,0,0,1,2,DE
fh,4,26.1921079158783,26.1921079158783,1,2,DE
pr,4,5593.449096679688,5593.449096679688,1,2,DE
sh,4,7940.891967773438,7940.891967773438,1,2,DE
fh,5,125.6148359775543,131.8095872402191,1.0493155,2,DE
pr,5,8295.743844985962,9444.530996322632,1.1384791,2,DE
sh,5,1428.673070907593,1315.840728759766,.92102295,2,DE
fh,6,820.8521032333374,717.2230396270752,.87375426,2,DE
pr,6,144454.9877929688,133719.7705078125,.92568469,2,DE
sh,6,29493.68957519531,32000.14379882813,1.0849828,2,DE
fh,7,1194.481107711792,1194.481107711792,1,2,DE
pr,7,57451.02868652344,57451.02868652344,1,2,DE
sh,7,48117.26403808594,48117.26403808594,1,2,DE
fh,8,1437.807357788086,1437.807357788086,1,2,DE
pr,8,62673.96484375,62673.96484375,1,2,DE
sh,8,35124.5475769043,35124.5475769043,1,2,DE
fh,9,103.4054975509644,108.2186064720154,1.046546,2,DE
pr,9,21124.96118164063,20459.72476196289,.96850944,2,DE
sh,9,22110.70971679688,21419.11367797852,.96872121,2,DE
fh,10,21.95600295066833,19.51644706726074,.8888889,2,DE
pr,10,14332.29772949219,15933.49652099609,1.1117196,2,DE
sh,10,5212.781402587891,6014.747772216797,1.1538461,2,DE
fh,11,0,0,1,2,DE
pr,11,0,0,1,2,DE
sh,11,0,0,1,2,DE
fh,12,0,0,1,2,DE
pr,12,0,0,1,2,DE
sh,12,0,0,1,2,DE
fh,1,0,0,1,3,DE
pr,1,0,0,1,3,DE
sh,1,0,0,1,3,DE
fh,2,0,0,1,3,DE
pr,2,0,0,1,3,DE
sh,2,0,0,1,3,DE
fh,3,0,0,1,3,DE
pr,3,0,0,1,3,DE
sh,3,0,0,1,3,DE
fh,4,21.43411803245544,21.43411803245544,1,3,DE
pr,4,5342.355102539063,5342.355102539063,1,3,DE
sh,4,10415.76782226563,10415.76782226563,1,3,DE
fh,5,77.69635331630707,83.94515860080719,1.080426,3,DE
pr,5,7826.092626571655,8915.514734268188,1.1392038,3,DE
sh,5,5688.09920501709,5242.387756347656,.92164141,3,DE
fh,6,1202.534208297729,1146.723735809326,.95358926,3,DE
pr,6,189528.7939453125,178146.515625,.93994433,3,DE
sh,6,48788.15093994141,56306.60961914063,1.1541042,3,DE
fh,7,974.924919128418,974.924919128418,1,3,DE
pr,7,58714.01220703125,58714.01220703125,1,3,DE
sh,7,20632.60919189453,20632.60919189453,1,3,DE
fh,8,336.6991519927979,336.6991519927979,1,3,DE
pr,8,72955.8203125,72955.8203125,1,3,DE
sh,8,59315.92663574219,59315.92663574219,1,3,DE
fh,9,86.20909595489502,87.4678258895874,1.0146009,3,DE
pr,9,35402.39147949219,35920.26788330078,1.0146283,3,DE
sh,9,37735.93115234375,36595.04193115234,.9697665,3,DE
fh,10,491.7703018188477,542.5880432128906,1.1033363,3,DE
pr,10,11472.22653198242,12609.86199951172,1.0991644,3,DE
