mode,month,dtrip,dtrip_y2,expansion_factor,draw,state
fh,1,0,0,1,1,MA
pr,1,0,0,1,1,MA
sh,1,0,0,1,1,MA
fh,2,0,0,1,1,MA
pr,2,0,0,1,1,MA
sh,2,0,0,1,1,MA
fh,3,0,0,1,1,MA
pr,3,0,0,1,1,MA
sh,3,0,0,1,1,MA
fh,4,0,0,1,1,MA
pr,4,0,0,1,1,MA
sh,4,12267.97265625,12267.97265625,1,1,MA
fh,5,5214.140396118164,5097.403121948242,.97761142,1,MA
pr,5,47104.47711181641,48408.73828125,1.0276887,1,MA
sh,5,24096.037109375,25817.1826171875,1.0714285,1,MA
fh,6,6751.191558837891,6797.519470214844,1.0068622,1,MA
pr,6,65151.2841796875,60807.865234375,.93333334,1,MA
sh,6,26850.27465820313,26725.35400390625,.9953475,1,MA
fh,7,31311.3837890625,31059.29260253906,.9919489,1,MA
pr,7,69545.72302246094,65474.25054931641,.9414562,1,MA
sh,7,183272.3671875,178399.7802734375,.97341341,1,MA
fh,8,14445.05184173584,15230.70532226563,1.0543891,1,MA
pr,8,158124.1010742188,161596.3056640625,1.0219587,1,MA
sh,8,105620.7646484375,102934.8098144531,.9745698,1,MA
fh,9,953.7628221511841,886.8422272801399,.9298352,1,MA
pr,9,117407.580078125,112842.9604492188,.96112162,1,MA
sh,9,36995.97509765625,35075.00775146484,.94807631,1,MA
fh,10,664.810718536377,715.9500045776367,1.0769231,1,MA
pr,10,14636.36367797852,15669.84498596191,1.0706105,1,MA
sh,10,554.1339111328125,523.3486938476563,.94444442,1,MA
fh,11,0,0,1,1,MA
pr,11,16296.70764160156,20057.486328125,1.2307693,1,MA
sh,11,14737.00756835938,18137.85546875,1.2307693,1,MA
fh,12,0,0,1,1,MA
pr,12,0,0,1,1,MA
sh,12,0,0,1,1,MA
fh,1,0,0,1,2,MA
pr,1,0,0,1,2,MA
sh,1,0,0,1,2,MA
fh,2,0,0,1,2,MA
pr,2,0,0,1,2,MA
