mode,month,dtrip,dtrip_y2,expansion_factor,draw,state
fh,1,0,0,1,1,MD
pr,1,0,0,1,1,MD
sh,1,0,0,1,1,MD
fh,2,0,0,1,1,MD
pr,2,0,0,1,1,MD
sh,2,0,0,1,1,MD
fh,3,0,0,1,1,MD
pr,3,56283.28491210938,52531.06591796875,.93333334,1,MD
sh,3,0,0,1,1,MD
fh,4,0,0,1,1,MD
pr,4,0,0,1,1,MD
sh,4,17585.59130859375,17585.59130859375,1,1,MD
fh,5,4382.09211730957,4401.817642211914,1.0045013,1,MD
pr,5,44934.60388183594,44439.224609375,.98897552,1,MD
sh,5,20643.73605728149,19476.94796943665,.94347978,1,MD
fh,6,9585.864715576172,9691.900817871094,1.0110617,1,MD
pr,6,7774.282751083374,8258.34965133667,1.0622652,1,MD
sh,6,5202.591247558594,4855.751831054688,.93333334,1,MD
fh,7,9667.731918334961,10043.67739868164,1.0388867,1,MD
pr,7,128999.3051757813,127351.7470703125,.98722816,1,MD
sh,7,153035.2162475586,141787.9745178223,.92650551,1,MD
fh,8,2815.385627746582,2784.513862609863,.98903459,1,MD
pr,8,56493.88928222656,56515.14416503906,1.0003762,1,MD
sh,8,145295.2111206055,154230.7529296875,1.0614992,1,MD
fh,9,1330.230461120605,1383.311550140381,1.0399036,1,MD
pr,9,47828.0947265625,44901.65194702148,.93881333,1,MD
sh,9,7648.54296875,8126.576904296875,1.0625,1,MD
fh,10,603.7503232955933,596.5706386566162,.98810822,1,MD
pr,10,6675.881950378418,7086.170986175537,1.0614583,1,MD
sh,10,161996.60546875,174457.8828125,1.0769231,1,MD
fh,11,782.9464836120605,644.7794570922852,.82352942,1,MD
pr,11,17618.3069152832,19736.31597900391,1.1202164,1,MD
sh,11,0,0,1,1,MD
fh,12,204.3092803955078,166.0012903213501,.8125,1,MD
pr,12,3436.866943359375,2792.454391479492,.8125,1,MD
sh,12,0,0,1,1,MD
fh,1,0,0,1,2,MD
pr,1,0,0,1,2,MD
sh,1,0,0,1,2,MD
fh,2,0,0,1,2,MD
pr,2,0,0,1,2,MD
sh,2,0,0,1,2,MD
fh,3,0,0,1,2,MD
pr,3,37326.47094726563,34838.03955078125,.93333334,2,MD
sh,3,0,0,1,2,MD
fh,4,0,0,1,2,MD
pr,4,0,0,1,2,MD
sh,4,0,0,1,2,MD
fh,5,3710.970916748047,3776.372756958008,1.0176239,2,MD
pr,5,40845.96069335938,41026.13806152344,1.0044111,2,MD
sh,5,34334.21939277649,32334.66462039948,.94176203,2,MD
fh,6,10597.33062744141,10507.82928466797,.99155438,2,MD
pr,6,62713.26324462891,59830.123046875,.95402664,2,MD
sh,6,11527.32055664063,10758.83251953125,.93333334,2,MD
fh,7,8107.169342041016,8297.092407226563,1.0234265,2,MD
pr,7,82707.24951171875,79668.60571289063,.96326023,2,MD
sh,7,103587.6341400146,95874.42807769775,.92553931,2,MD
fh,8,2419.832328796387,2431.024856567383,1.0046253,2,MD
pr,8,123592.5900878906,119032.2218017578,.96310163,2,MD
sh,8,254445.8259277344,265917.8076171875,1.0450861,2,MD
fh,9,342.4212455749512,336.8493175506592,.98372787,2,MD
pr,9,74086.9697265625,71145.60876464844,.96029854,2,MD
sh,9,6411.140625,6811.8369140625,1.0625,2,MD
fh,10,502.9966802597046,483.7783756256104,.96179241,2,MD
pr,10,8542.205261230469,9199.297973632813,1.0769231,2,MD
sh,10,0,0,1,2,MD
fh,11,924.2345767021179,795.9797058105469,.86123127,2,MD
pr,11,17202.80700683594,21172.685546875,1.2307693,2,MD
sh,11,0,0,1,2,MD
fh,12,113.7057113647461,92.3858904838562,.8125,2,MD
pr,12,7714.27734375,6267.850341796875,.8125,2,MD
sh,12,0,0,1,2,MD
fh,1,0,0,1,3,MD
pr,1,0,0,1,3,MD
sh,1,0,0,1,3,MD
fh,2,0,0,1,3,MD
pr,2,0,0,1,3,MD
sh,2,0,0,1,3,MD
fh,3,0,0,1,3,MD
pr,3,34223.04565429688,31941.50927734375,.93333334,3,MD
sh,3,0,0,1,3,MD
fh,4,0,0,1,3,MD
pr,4,0,0,1,3,MD
sh,4,19640.88427734375,19640.88427734375,1,3,MD
fh,5,4024.550956726074,4078.903564453125,1.0135052,3,MD
pr,5,38188.75988769531,38169.66674804688,.99950004,3,MD
sh,5,31869.20976257324,30061.91951751709,.94329041,3,MD
fh,6,9925.270385742188,10018.33312988281,1.0093763,3,MD
pr,6,51974.26025390625,49827.40478515625,.95869386,3,MD
sh,6,1810.720825195313,1690.006103515625,.93333334,3,MD
fh,7,10153.26515197754,10558.63595581055,1.0399252,3,MD
pr,7,116961.7648925781,117703.943359375,1.0063455,3,MD
sh,7,179433.9382324219,168076.1705322266,.93670225,3,MD
fh,8,3105.203765869141,3125.145179748535,1.0064219,3,MD
pr,8,40676.21184253693,43558.97566223145,1.070871,3,MD
sh,8,126959.423828125,136027.9541015625,1.0714285,3,MD
fh,9,527.7132148742676,529.4872989654541,1.0033618,3,MD
pr,9,53618.4521484375,51195.34790039063,.95480841,3,MD
sh,9,12283.01171875,13050.69995117188,1.0625,3,MD
fh,10,686.0615983009338,661.2246618270874,.96379781,3,MD
pr,10,6655.797637939453,7076.284973144531,1.0631762,3,MD
sh,10,40542.85815429688,43661.53955078125,1.0769231,3,MD
fh,11,1029.52529335022,927.9740219116211,.90136105,3,MD
pr,11,29388.23504638672,27787.4521484375,.94552982,3,MD
sh,11,0,0,1,3,MD
fh,12,96.62955474853516,78.51151323318481,.8125,3,MD
pr,12,1671.0576171875,1357.734313964844,.8125,3,MD
sh,12,0,0,1,3,MD
fh,1,0,0,1,4,MD
pr,1,0,0,1,4,MD
sh,1,0,0,1,4,MD
fh,2,0,0,1,4,MD
pr,2,0,0,1,4,MD
sh,2,0,0,1,4,MD
fh,3,0,0,1,4,MD
pr,3,0,0,1,4,MD
sh,3,0,0,1,4,MD
fh,4,0,0,1,4,MD
pr,4,0,0,1,4,MD
sh,4,28846.3447265625,28846.3447265625,1,4,MD
fh,5,3629.160827636719,3692.591995239258,1.0174782,4,MD
pr,5,29034.61706542969,29388.2607421875,1.0121801,4,MD
sh,5,18676.04415130615,17648.36103439331,.94497317,4,MD
fh,6,9315.073471069336,9474.106719970703,1.0170727,4,MD
pr,6,37337.57446289063,34848.40283203125,.93333334,4,MD
sh,6,12557.84362792969,11720.65405273438,.93333334,4,MD
fh,7,8696.785942077637,9080.159637451172,1.0440823,4,MD
pr,7,99020.009765625,99310.37158203125,1.0029323,4,MD
sh,7,87914.70288085938,81835.15441894531,.93084717,4,MD
fh,8,6324.502471923828,6271.932723999023,.99168789,4,MD
pr,8,90752.677734375,89017.31860351563,.98087817,4,MD
sh,8,19931.48315429688,18759.04296875,.94117647,4,MD
fh,9,378.516544342041,365.0652484893799,.96446311,4,MD
pr,9,51779.37255859375,49360.82366943359,.95329124,4,MD
sh,9,12098.9755859375,12855.16156005859,1.0625,4,MD
fh,10,476.2142219543457,471.1977310180664,.98946589,4,MD
pr,10,10943.44672012329,11718.1425037384,1.0707909,4,MD
sh,10,47844.18310546875,51524.5048828125,1.0769231,4,MD
fh,11,819.3125305175781,674.7279663085938,.82352942,4,MD
pr,11,16067.67315673828,17971.2978515625,1.1184754,4,MD
sh,11,0,0,1,4,MD
fh,12,134.2787170410156,109.1014575958252,.8125,4,MD
pr,12,4668.33056640625,3793.018585205078,.8125,4,MD
sh,12,0,0,1,4,MD
fh,1,0,0,1,5,MD
pr,1,0,0,1,5,MD
sh,1,0,0,1,5,MD
fh,2,0,0,1,5,MD
pr,2,0,0,1,5,MD
sh,2,0,0,1,5,MD
fh,3,0,0,1,5,MD
pr,3,60411.42333984375,56383.9951171875,.93333334,5,MD
sh,3,0,0,1,5,MD
fh,4,0,0,1,5,MD
pr,4,0,0,1,5,MD
sh,4,5303.245239257813,5303.245239257813,1,5,MD
fh,5,3287.671646118164,3370.830108642578,1.0252941,5,MD
pr,5,29921.12573242188,29887.87408447266,.99888867,5,MD
sh,5,25032.53710746765,23581.39685726166,.94202983,5,MD
fh,6,8761.770172119141,8815.753784179688,1.0061612,5,MD
pr,6,60732.26440429688,58868.45947265625,.96931112,5,MD
sh,6,6240.176696777344,5824.164916992188,.93333334,5,MD
fh,7,7391.928497314453,7524.666687011719,1.0179572,5,MD
pr,7,102618.9155273438,100964.5705566406,.98387873,5,MD
