mode,month,dtrip,dtrip_y2,expansion_factor,draw,state
fh,1,0,0,1,1,NC
pr,1,15738.97166442871,16855.43836975098,1.0709364,1,NC
sh,1,6218.197204589844,5486.644592285156,.88235295,1,NC
fh,2,0,0,1,1,NC
pr,2,6346.609680175781,6346.609680175781,1,1,NC
sh,2,0,0,1,1,NC
fh,3,269.0733137130737,277.2329530715942,1.0303249,1,NC
pr,3,68031.791015625,71977.42529296875,1.0579969,1,NC
sh,3,5798.498382568359,5025.365264892578,.86666667,1,NC
fh,4,183.0139789581299,183.0139789581299,1,1,NC
pr,4,35009.06652832031,35009.06652832031,1,1,NC
sh,4,14926.47216796875,14926.47216796875,1,1,NC
fh,5,3934.349627971649,4465.377834796906,1.1349723,1,NC
pr,5,43208.4676361084,48338.53578186035,1.1187283,1,NC
sh,5,148260.4471435547,163265.9844970703,1.1012107,1,NC
fh,6,2292.011833190918,2243.223495483398,.97871375,1,NC
pr,6,21284.6134185791,17757.16232299805,.83427227,1,NC
sh,6,41061.31133079529,49107.28099822998,1.1959502,1,NC
fh,7,631.2343769073486,631.2343769073486,1,1,NC
pr,7,44797.92041015625,44797.92041015625,1,1,NC
sh,7,821.2794036865234,821.2794036865234,1,1,NC
fh,8,727.3754243850708,727.3754243850708,1,1,NC
pr,8,96849.73526000977,96849.73526000977,1,1,NC
sh,8,32007.42562866211,32007.42562866211,1,1,NC
fh,9,1571.859954833984,1489.432309150696,.94756043,1,NC
pr,9,44988.09643554688,44643.97546386719,.99235082,1,NC
sh,9,24595.43103027344,24352.64367675781,.99012876,1,NC
fh,10,296.1675729751587,310.6384840011597,1.0488605,1,NC
pr,10,70599.71447753906,78312.00390625,1.1092397,1,NC
sh,10,38966.07177734375,44960.85205078125,1.1538461,1,NC
fh,11,0,0,1,1,NC
pr,11,0,0,1,1,NC
sh,11,0,0,1,1,NC
fh,12,0,0,1,1,NC
pr,12,0,0,1,1,NC
sh,12,0,0,1,1,NC
fh,1,0,0,1,2,NC
pr,1,20074.43016052246,22692.72364807129,1.1304293,2,NC
sh,1,9052.625549316406,7987.610778808594,.88235295,2,NC
fh,2,0,0,1,2,NC
pr,2,10705.51190185547,10705.51190185547,1,2,NC
sh,2,0,0,1,2,NC
fh,3,1088.741446018219,1215.743930339813,1.1166507,2,NC
pr,3,5530.655364990234,4793.234649658203,.86666667,2,NC
sh,3,5205.367584228516,4511.318572998047,.86666667,2,NC
fh,4,142.5081338882446,142.5081338882446,1,2,NC
pr,4,28398.86769104004,28398.86769104004,1,2,NC
sh,4,33545.12731933594,33545.12731933594,1,2,NC
fh,5,2534.767791748047,2769.188171386719,1.092482,2,NC
pr,5,101416.4529418945,114430.911315918,1.1283269,2,NC
sh,5,90948.45440673828,100180.7565307617,1.1015114,2,NC
fh,6,5698.919677734375,5441.588653564453,.95484567,2,NC
pr,6,20027.9513168335,16472.69270324707,.82248515,2,NC
sh,6,41296.67724609375,42556.86547851563,1.0305154,2,NC
fh,7,651.4959034919739,651.4959034919739,1,2,NC
pr,7,47857.35510253906,47857.35510253906,1,2,NC
sh,7,5228.984069824219,5228.984069824219,1,2,NC
fh,8,1155.29317855835,1155.29317855835,1,2,NC
pr,8,114198.1184082031,114198.1184082031,1,2,NC
sh,8,21527.89916992188,21527.89916992188,1,2,NC
fh,9,1294.85587310791,1301.704277038574,1.005289,2,NC
pr,9,55605.61590576172,58598.01174926758,1.0538146,2,NC
sh,9,17910.70471191406,17504.50512695313,.97732085,2,NC
fh,10,347.3070774078369,400.7389354705811,1.1538461,2,NC
pr,10,53113.25415039063,55959.50903320313,1.0535884,2,NC
sh,10,42256.17944335938,48757.13012695313,1.1538461,2,NC
fh,11,0,0,1,2,NC
pr,11,0,0,1,2,NC
sh,11,0,0,1,2,NC
fh,12,0,0,1,2,NC
pr,12,0,0,1,2,NC
sh,12,0,0,1,2,NC
fh,1,0,0,1,3,NC
pr,1,22226.66696166992,24697.85427856445,1.1111811,3,NC
sh,1,2891.843811035156,2551.626892089844,.88235295,3,NC
fh,2,0,0,1,3,NC
pr,2,6699.732177734375,6699.732177734375,1,3,NC
sh,2,0,0,1,3,NC
fh,3,738.350031375885,817.291907787323,1.1069165,3,NC
pr,3,82710.20663452148,91487.61892700195,1.1061225,3,NC
sh,3,2726.293258666992,2362.787490844727,.86666667,3,NC
fh,4,114.5762701034546,114.5762701034546,1,3,NC
pr,4,34024.25207519531,34024.25207519531,1,3,NC
sh,4,15098.63635253906,15098.63635253906,1,3,NC
fh,5,3828.980154037476,4304.570566177368,1.1242081,3,NC
pr,5,27010.1357421875,29386.89477539063,1.0879951,3,NC
sh,5,128173.2707519531,140155.7927246094,1.0934869,3,NC
fh,6,5656.430282592773,5415.755401611328,.95745111,3,NC
