mode,month,dtrip,dtrip_y2,expansion_factor,draw,state
fh,1,0,0,1,1,NJ
pr,1,0,0,1,1,NJ
sh,1,0,0,1,1,NJ
fh,2,0,0,1,1,NJ
pr,2,0,0,1,1,NJ
sh,2,0,0,1,1,NJ
fh,3,324.8579406738281,303.2007446289063,.93333334,1,NJ
pr,3,8679.1259765625,8100.517578125,.93333334,1,NJ
sh,3,0,0,1,1,NJ
fh,4,295.2106246948242,295.2106246948242,1,1,NJ
pr,4,10474.83435058594,10474.83435058594,1,1,NJ
sh,4,45392.818359375,45392.818359375,1,1,NJ
fh,5,11107.78427124023,11078.8918762207,.99739891,1,NJ
pr,5,227146.68359375,237334.5556640625,1.0448515,1,NJ
sh,5,223998.0444335938,222031.0639648438,.99121875,1,NJ
fh,6,29537.59185791016,30434.67614746094,1.030371,1,NJ
pr,6,434540.9399414063,419559.953125,.96552455,1,NJ
sh,6,345064.892578125,342222.115234375,.99176162,1,NJ
fh,7,17606.95184326172,17942.15942382813,1.0190383,1,NJ
pr,7,682653.916015625,657580.6416015625,.9632709,1,NJ
sh,7,360842.390625,363784.4052734375,1.0081532,1,NJ
fh,8,13103.64025878906,12781.84216308594,.97544211,1,NJ
pr,8,522949.3671875,527287.763671875,1.008296,1,NJ
sh,8,311561.1875,317888.365234375,1.020308,1,NJ
fh,9,16175.19287109375,16380.556640625,1.0126963,1,NJ
pr,9,167789.2109375,164220.7290039063,.97873235,1,NJ
sh,9,331930.86328125,320621.7143554688,.96592921,1,NJ
fh,10,5594.950927734375,5504.519775390625,.98383701,1,NJ
pr,10,74874.01440429688,77231.74963378906,1.0314894,1,NJ
sh,10,42168.65844726563,43155.92547607422,1.0234123,1,NJ
fh,11,2484.474925756454,3052.021908283234,1.2284374,1,NJ
pr,11,60343.17541503906,66138.73120117188,1.0960432,1,NJ
sh,11,22524.87646484375,25891.0712890625,1.1494434,1,NJ
fh,12,4377.024682998657,3627.134471893311,.82867581,1,NJ
pr,12,15640.04058837891,17993.4741897583,1.1504749,1,NJ
sh,12,0,0,1,1,NJ
fh,1,0,0,1,2,NJ
pr,1,0,0,1,2,NJ
sh,1,0,0,1,2,NJ
fh,2,0,0,1,2,NJ
pr,2,0,0,1,2,NJ
sh,2,0,0,1,2,NJ
fh,3,370.400390625,345.70703125,.93333334,2,NJ
pr,3,6167.349700927734,5756.193054199219,.93333334,2,NJ
sh,3,0,0,1,2,NJ
fh,4,176.4891700744629,176.4891700744629,1,2,NJ
pr,4,5474.604125976563,5474.604125976563,1,2,NJ
sh,4,26027.59130859375,26027.59130859375,1,2,NJ
fh,5,9860.194458007813,9741.884689331055,.98800129,2,NJ
pr,5,377507.8000488281,396491.658203125,1.0502874,2,NJ
sh,5,410757.423828125,426305.998046875,1.0378535,2,NJ
fh,6,29513.94012451172,30414.06945800781,1.0304985,2,NJ
pr,6,450851.5942382813,431586.16796875,.95726883,2,NJ
sh,6,410128.5205078125,408314.7890625,.99557763,2,NJ
fh,7,20350.17199707031,20887.63421630859,1.0264107,2,NJ
pr,7,619773.94921875,603422.40625,.9736169,2,NJ
sh,7,787338.986328125,785447.412109375,.99759752,2,NJ
fh,8,21019.97198486328,20338.97860717773,.96760255,2,NJ
pr,8,277355.0766601563,282241.9619140625,1.0176196,2,NJ
sh,8,364612.1943359375,375443.2109375,1.0297055,2,NJ
fh,9,12598.54602050781,12450.17141723633,.9882229,2,NJ
pr,9,112474.7622070313,113782.8288574219,1.0116298,2,NJ
sh,9,368112.74609375,359871.3466796875,.97761178,2,NJ
fh,10,5786.021942138672,5924.80632019043,1.0239861,2,NJ
pr,10,51712.1953125,53078.24157714844,1.0264163,2,NJ
sh,10,91234.1416015625,96786.87329101563,1.0608624,2,NJ
fh,11,3002.107360839844,3694.9013671875,1.2307693,2,NJ
pr,11,36615.69305419922,41046.06994628906,1.1209967,2,NJ
sh,11,5373.010589599609,5269.316314697266,.98070091,2,NJ
fh,12,2203.252582550049,1867.350875854492,.84754282,2,NJ
pr,12,16373.99725341797,16746.44686889648,1.0227464,2,NJ
sh,12,0,0,1,2,NJ
fh,1,0,0,1,3,NJ
pr,1,0,0,1,3,NJ
sh,1,0,0,1,3,NJ
fh,2,0,0,1,3,NJ
pr,2,0,0,1,3,NJ
sh,2,0,0,1,3,NJ
fh,3,392.3256969451904,366.1706504821777,.93333334,3,NJ
pr,3,5797.464294433594,5410.966674804688,.93333334,3,NJ
sh,3,0,0,1,3,NJ
fh,4,241.0826568603516,241.0826568603516,1,3,NJ
pr,4,7831.008544921875,7831.008544921875,1,3,NJ
sh,4,45062.53857421875,45062.53857421875,1,3,NJ
fh,5,12817.44982910156,12844.0485534668,1.0020752,3,NJ
pr,5,258736.5698242188,265956.1611328125,1.0279032,3,NJ
sh,5,290845.4106445313,296538.3525390625,1.0195738,3,NJ
fh,6,12407.07824707031,12113.23254394531,.97631627,3,NJ
pr,6,551716.6186523438,530886.4765625,.96224487,3,NJ
sh,6,444412.9833984375,431817.6015625,.97165841,3,NJ
fh,7,14646.2135925293,14955.52325439453,1.0211188,3,NJ
pr,7,803003.365234375,777538.8740234375,.96828842,3,NJ
sh,7,560392.29296875,542324.8310546875,.96775925,3,NJ
fh,8,23085.35559082031,22398.85333251953,.97026241,3,NJ
pr,8,305928.7202148438,312086.34375,1.0201277,3,NJ
sh,8,285268.123046875,290181.9306640625,1.0172253,3,NJ
fh,9,11645.77856445313,11865.98461914063,1.0189086,3,NJ
pr,9,170356.787109375,167656.8676757813,.98415136,3,NJ
sh,9,399341.87890625,388119.5708007813,.97189802,3,NJ
fh,10,5823.972671508789,5762.246368408203,.98940134,3,NJ
pr,10,67481.35388183594,70235.38189697266,1.0408117,3,NJ
sh,10,62418.44055175781,65441.12591552734,1.0484262,3,NJ
fh,11,1105.748527526855,1360.921264648438,1.2307693,3,NJ
pr,11,42383.79699707031,42224.48608398438,.99624121,3,NJ
sh,11,42574.2681350708,51897.53147888184,1.2189882,3,NJ
fh,12,5590.053956031799,4585.997816085815,.82038528,3,NJ
pr,12,6052.741333007813,7143.353004455566,1.1801847,3,NJ
sh,12,0,0,1,3,NJ
fh,1,0,0,1,4,NJ
pr,1,0,0,1,4,NJ
sh,1,0,0,1,4,NJ
fh,2,0,0,1,4,NJ
pr,2,0,0,1,4,NJ
sh,2,0,0,1,4,NJ
fh,3,77.97301054000854,72.77480983734131,.93333334,4,NJ
pr,3,0,0,1,4,NJ
sh,3,0,0,1,4,NJ
fh,4,191.991382598877,191.991382598877,1,4,NJ
pr,4,3753.593627929688,3753.593627929688,1,4,NJ
sh,4,28907.66821289063,28907.66821289063,1,4,NJ
fh,5,6378.197784423828,6393.782577514648,1.0024434,4,NJ
pr,5,271987.5234375,284641.5263671875,1.0465242,4,NJ
sh,5,344020.978515625,355779.994140625,1.0341811,4,NJ
fh,6,15573.20617675781,15813.58959960938,1.0154357,4,NJ
pr,6,545983.0224609375,529693.66796875,.97016507,4,NJ
sh,6,364643.7451171875,363448.974609375,.99672347,4,NJ
fh,7,22445.49066162109,23249.53979492188,1.0358223,4,NJ
pr,7,624658.05859375,610549.9609375,.97741467,4,NJ
sh,7,946996.25,941930.044921875,.99465024,4,NJ
