mode,month,dtrip,dtrip_y2,expansion_factor,draw,state
fh,1,0,0,1,1,NY
pr,1,0,0,1,1,NY
sh,1,0,0,1,1,NY
fh,2,0,0,1,1,NY
pr,2,0,0,1,1,NY
sh,2,0,0,1,1,NY
fh,3,227.2545719146729,212.1042671203613,.93333334,1,NY
pr,3,0,0,1,1,NY
sh,3,0,0,1,1,NY
fh,4,2357.330060005188,2357.330060005188,1,1,NY
pr,4,58993.0546875,58993.0546875,1,1,NY
sh,4,18343.39324951172,18343.39324951172,1,1,NY
fh,5,23561.9033203125,22809.0458984375,.96804768,1,NY
pr,5,525322.55859375,543354.037109375,1.0343245,1,NY
sh,5,309396.08984375,331495.810546875,1.0714285,1,NY
fh,6,18497.00042724609,18812.86779785156,1.0170767,1,NY
pr,6,643295.185546875,627635.1640625,.97565657,1,NY
sh,6,428109.873046875,412854.51171875,.96436578,1,NY
fh,7,39969.85534667969,40953.150390625,1.0246009,1,NY
pr,7,1073535.716796875,1025097.094726563,.95487934,1,NY
sh,7,418183.349609375,416729.5322265625,.9965235,1,NY
fh,8,32118.49029541016,32639.86743164063,1.016233,1,NY
pr,8,864649.4814453125,890702.3515625,1.0301311,1,NY
sh,8,956846.88671875,958411.654296875,1.0016353,1,NY
fh,9,22421.86499023438,22154.93359375,.98809505,1,NY
pr,9,146540.1904296875,142350.7788085938,.97141117,1,NY
sh,9,239203.412109375,226316.2730712891,.94612479,1,NY
fh,10,16955.4990234375,17293.9873046875,1.0199634,1,NY
pr,10,165380.1203613281,176381.0606689453,1.0665191,1,NY
sh,10,375582.572265625,362308.015625,.96465611,1,NY
fh,11,1665.455795288086,2049.791748046875,1.2307693,1,NY
pr,11,383366.8002929688,435804.7626953125,1.1367828,1,NY
sh,11,6717.491027832031,6304.272521972656,.93848616,1,NY
fh,12,5093.328762054443,4334.333534240723,.85098249,1,NY
pr,12,0,0,1,1,NY
sh,12,0,0,1,1,NY
fh,1,0,0,1,2,NY
pr,1,0,0,1,2,NY
sh,1,0,0,1,2,NY
fh,2,0,0,1,2,NY
pr,2,0,0,1,2,NY
sh,2,0,0,1,2,NY
fh,3,0,0,1,2,NY
pr,3,0,0,1,2,NY
sh,3,0,0,1,2,NY
fh,4,17.8501181602478,17.8501181602478,1,2,NY
pr,4,25037.1591796875,25037.1591796875,1,2,NY
sh,4,26199.14758300781,26199.14758300781,1,2,NY
fh,5,20778.83428955078,20395.02252197266,.9815287,2,NY
pr,5,434749.1518554688,452465.3203125,1.0407503,2,NY
sh,5,85702.10498046875,80660.8046875,.94117647,2,NY
fh,6,32189.4490814209,33827.28512573242,1.0508811,2,NY
pr,6,788570.56640625,762727.453125,.96722788,2,NY
sh,6,201540.322265625,194763.779296875,.96637625,2,NY
fh,7,38605.31170654297,39282.90344238281,1.0175518,2,NY
pr,7,1099079.34375,1060015.88671875,.96445805,2,NY
sh,7,350625.7490234375,345406.1025390625,.98511332,2,NY
fh,8,53978.33374023438,54787.48217773438,1.0149902,2,NY
pr,8,799470.8603515625,823236.0078125,1.0297261,2,NY
sh,8,923920.19140625,912302.876953125,.98742604,2,NY
fh,9,16633.32409667969,16395.27505493164,.98568845,2,NY
pr,9,220102.37109375,210029.2661132813,.95423448,2,NY
sh,9,250657.482421875,246264.837890625,.98247552,2,NY
fh,10,19626.42272949219,20083.85363769531,1.0233068,2,NY
pr,10,150581.6489868164,161547.7007141113,1.0728246,2,NY
sh,10,459405.7099609375,455831.2529296875,.99221939,2,NY
fh,11,2464.906021118164,2909.096405029297,1.1802058,2,NY
pr,11,195808.0439453125,240994.515625,1.2307693,2,NY
sh,11,3706.677032470703,3052.557556152344,.82352942,2,NY
fh,12,8942.015014648438,8802.249237060547,.98436975,2,NY
pr,12,0,0,1,2,NY
sh,12,0,0,1,2,NY
fh,1,0,0,1,3,NY
pr,1,0,0,1,3,NY
sh,1,0,0,1,3,NY
fh,2,0,0,1,3,NY
pr,2,0,0,1,3,NY
sh,2,0,0,1,3,NY
fh,3,37.01323628425598,34.54568719863892,.93333334,3,NY
pr,3,0,0,1,3,NY
sh,3,0,0,1,3,NY
fh,4,1379.340173900127,1379.340173900127,1,3,NY
pr,4,17906.41259765625,17906.41259765625,1,3,NY
sh,4,36189.6298828125,36189.6298828125,1,3,NY
fh,5,20933.4619140625,20526.54559326172,.98056144,3,NY
pr,5,329709.888671875,343544.98828125,1.0419614,3,NY
sh,5,282972.6484375,291385.666015625,1.0297308,3,NY
fh,6,28012.7604675293,29011.07489013672,1.0356379,3,NY
pr,6,583203.2373046875,575841.83203125,.98737764,3,NY
sh,6,339701.1401367188,325796.85546875,.95906907,3,NY
fh,7,52634.81359863281,53997.82739257813,1.0258957,3,NY
pr,7,1139131.671875,1093049.255859375,.95954603,3,NY
sh,7,270108.3037109375,269324.8779296875,.99709958,3,NY
fh,8,56052.7060546875,57397.38500976563,1.0239896,3,NY
pr,8,787385.2060546875,810266.8828125,1.0290604,3,NY
sh,8,913430.578125,893893.30078125,.97861111,3,NY
fh,9,14584.75885009766,14544.75619506836,.99725723,3,NY
pr,9,272444.53125,257253.9807128906,.94424349,3,NY
sh,9,347443.28125,341871.083984375,.9839623,3,NY
fh,10,19455.24603271484,19862.3923034668,1.0209273,3,NY
pr,10,209957.9223937988,225754.5511627197,1.0752372,3,NY
sh,10,169121.544921875,182130.89453125,1.0769231,3,NY
fh,11,371.5373916625977,305.9719696044922,.82352942,3,NY
pr,11,198608.7958984375,224715.35546875,1.1314472,3,NY
sh,11,9497.522972106934,11175.45198059082,1.1766702,3,NY
fh,12,3819.21435546875,3103.111663818359,.8125,3,NY
pr,12,0,0,1,3,NY
sh,12,0,0,1,3,NY
fh,1,0,0,1,4,NY
pr,1,0,0,1,4,NY
sh,1,0,0,1,4,NY
fh,2,0,0,1,4,NY
pr,2,0,0,1,4,NY
sh,2,0,0,1,4,NY
fh,3,8.126983344554901,7.585184454917908,.93333334,4,NY
pr,3,0,0,1,4,NY
sh,3,0,0,1,4,NY
fh,4,2073.497085571289,2073.497085571289,1,4,NY
pr,4,13289.07861328125,13289.07861328125,1,4,NY
sh,4,5444.74658203125,5444.74658203125,1,4,NY
fh,5,23484.39984130859,22714.77798461914,.96722835,4,NY
pr,5,479979.8115234375,499940.99609375,1.0415876,4,NY
sh,5,237080.1433105469,247592.3603515625,1.0443404,4,NY
fh,6,22344.40200805664,22886.61871337891,1.0242664,4,NY
pr,6,655302.333984375,641631.3359375,.9791379,4,NY
sh,6,355826.8359375,343080.32421875,.96417779,4,NY
fh,7,38506.01617431641,39009.05029296875,1.0130638,4,NY
pr,7,875835.103515625,841237.2587890625,.96049732,4,NY
sh,7,281246.685546875,273929.0458984375,.97398144,4,NY
fh,8,74534.81457519531,76519.13159179688,1.0266227,4,NY
pr,8,916843.017578125,948446.5859375,1.03447,4,NY
sh,8,873152.69921875,855528.587890625,.97981554,4,NY
fh,9,19249.240234375,18990.85321044922,.9865768,4,NY
pr,9,164454.765625,156036.0418701172,.94880825,4,NY
sh,9,234759.345703125,228359.1723632813,.97273731,4,NY
fh,10,10161.19616699219,10185.84777832031,1.002426,4,NY
pr,10,156784.8168945313,166415.7399902344,1.0614276,4,NY
sh,10,198601.9780273438,210224.6994628906,1.0585227,4,NY
fh,11,183.1021022796631,150.789966583252,.82352942,4,NY
pr,11,327533.0676269531,385991.1108398438,1.1784798,4,NY
sh,11,10551.89595031738,11266.40969848633,1.0677142,4,NY
fh,12,6473.702301025391,5786.100799560547,.89378542,4,NY
pr,12,0,0,1,4,NY
sh,12,0,0,1,4,NY
fh,1,0,0,1,5,NY
pr,1,0,0,1,5,NY
sh,1,0,0,1,5,NY
fh,2,0,0,1,5,NY
pr,2,0,0,1,5,NY
sh,2,0,0,1,5,NY
fh,3,99.56939935684204,92.93143939971924,.93333334,5,NY
pr,3,0,0,1,5,NY
sh,3,0,0,1,5,NY
fh,4,1473.702046394348,1473.702046394348,1,5,NY
pr,4,27744.9052734375,27744.9052734375,1,5,NY
sh,4,23373.6943359375,23373.6943359375,1,5,NY
fh,5,31401.18286132813,30480.64379882813,.97068459,5,NY
pr,5,404976.5285644531,426809.619140625,1.053912,5,NY
sh,5,201408.3751831055,214595.55859375,1.0654749,5,NY
fh,6,13305.03433227539,13214.15179443359,.99316931,5,NY
pr,6,556556.6162109375,546251.4296875,.98148406,5,NY
sh,6,345675.4614257813,338436.978515625,.97905988,5,NY
fh,7,39097.90710449219,39565.9189453125,1.0119703,5,NY
pr,7,1078909.9765625,1036693.87109375,.96087152,5,NY
sh,7,359307.56640625,347968.7080078125,.9684425,5,NY
fh,8,65702.23889160156,66440.17163085938,1.0112314,5,NY
pr,8,813760.8515625,834967.66796875,1.0260602,5,NY
sh,8,450778.966796875,449521.626953125,.99721074,5,NY
fh,9,5171.836547851563,4892.370433807373,.94596386,5,NY
pr,9,206413.240234375,195618.1491699219,.94770157,5,NY
sh,9,311698.642578125,311616.25,.99973565,5,NY
fh,10,11961.80316162109,12234.59680175781,1.0228055,5,NY
pr,10,112461.7487487793,120869.3088226318,1.0747592,5,NY
