mode,month,dtrip,dtrip_y2,expansion_factor,draw,state
fh,1,0,0,1,1,RI
pr,1,0,0,1,1,RI
sh,1,0,0,1,1,RI
fh,2,0,0,1,1,RI
pr,2,0,0,1,1,RI
sh,2,0,0,1,1,RI
fh,3,0,0,1,1,RI
pr,3,0,0,1,1,RI
sh,3,0,0,1,1,RI
fh,4,0,0,1,1,RI
pr,4,7757.914306640625,7757.914306640625,1,1,RI
sh,4,7410.11279296875,7410.11279296875,1,1,RI
fh,5,1324.656438827515,1376.696876525879,1.039286,1,RI
pr,5,9037.691032409668,9482.903503417969,1.0492618,1,RI
sh,5,11903.40762329102,12174.04248046875,1.022736,1,RI
fh,6,958.7141704559326,933.3834686279297,.97357845,1,RI
pr,6,79282.67944335938,79296.05322265625,1.0001687,1,RI
sh,6,256816.0729980469,246985.8828125,.96172285,1,RI
fh,7,3122.503154754639,3187.207565307617,1.0207219,1,RI
pr,7,321348.23046875,323667.1416015625,1.0072162,1,RI
sh,7,260942.359375,251560.8251953125,.96404749,1,RI
fh,8,2987.154296875,2897.995506286621,.97015262,1,RI
pr,8,235421.3818359375,248086.630859375,1.0537982,1,RI
sh,8,350024.0639648438,365897.326171875,1.045349,1,RI
fh,9,1052.077995300293,1042.528993606567,.9909237,1,RI
pr,9,175355.83984375,165789.5794677734,.94544661,1,RI
sh,9,37016.9443359375,35144.37084960938,.94941306,1,RI
fh,10,2983.841888427734,3129.039962768555,1.0486615,1,RI
pr,10,55030.43872070313,56008.10693359375,1.017766,1,RI
sh,10,0,0,1,1,RI
fh,11,599.4768524169922,634.1588592529297,1.0578538,1,RI
pr,11,120792.5537109375,99476.220703125,.82352942,1,RI
sh,11,0,0,1,1,RI
fh,12,0,0,1,1,RI
pr,12,0,0,1,1,RI
sh,12,0,0,1,1,RI
fh,1,0,0,1,2,RI
pr,1,0,0,1,2,RI
sh,1,0,0,1,2,RI
fh,2,0,0,1,2,RI
pr,2,0,0,1,2,RI
sh,2,0,0,1,2,RI
fh,3,0,0,1,2,RI
pr,3,0,0,1,2,RI
sh,3,0,0,1,2,RI
fh,4,0,0,1,2,RI
pr,4,8497.442138671875,8497.442138671875,1,2,RI
sh,4,1747.917846679688,1747.917846679688,1,2,RI
fh,5,253.5037031173706,238.5917205810547,.94117647,2,RI
pr,5,19838.21589660645,20764.02624511719,1.0466681,2,RI
sh,5,25582.33129882813,25914.62237548828,1.012989,2,RI
fh,6,1135.414094924927,1117.863021850586,.98454213,2,RI
pr,6,80957.96997070313,79775.62109375,.98539555,2,RI
sh,6,210377.4499511719,203638.80078125,.96796876,2,RI
fh,7,2649.164756774902,2698.807037353516,1.0187389,2,RI
pr,7,224413.2060546875,226189.947265625,1.0079173,2,RI
sh,7,349322.0615234375,330398.7016601563,.94582832,2,RI
fh,8,3075.180236816406,3025.641723632813,.98389083,2,RI
pr,8,182075.7785644531,188356.9521484375,1.0344976,2,RI
sh,8,407532.6547851563,422276.876953125,1.0361792,2,RI
fh,9,932.3469924926758,919.6287250518799,.98635888,2,RI
pr,9,174727.53125,166338.5085449219,.95198798,2,RI
sh,9,31436.41369628906,29296.9729385376,.93194389,2,RI
fh,10,3139.996353149414,3240.102310180664,1.0318809,2,RI
pr,10,49090.92333984375,49204.88635253906,1.0023215,2,RI
sh,10,43202.1484375,46525.390625,1.0769231,2,RI
fh,11,389.3105113506317,457.0466637611389,1.17399,2,RI
pr,11,179203.009765625,147578.94921875,.82352942,2,RI
sh,11,0,0,1,2,RI
fh,12,105.7860088348389,126.9432106018066,1.2,2,RI
pr,12,0,0,1,2,RI
sh,12,0,0,1,2,RI
fh,1,0,0,1,3,RI
pr,1,0,0,1,3,RI
sh,1,0,0,1,3,RI
fh,2,0,0,1,3,RI
pr,2,0,0,1,3,RI
sh,2,0,0,1,3,RI
fh,3,0,0,1,3,RI
pr,3,0,0,1,3,RI
sh,3,0,0,1,3,RI
fh,4,0,0,1,3,RI
pr,4,7534.33740234375,7534.33740234375,1,3,RI
sh,4,2683.625793457031,2683.625793457031,1,3,RI
fh,5,1101.323112487793,1072.946321487427,.97423393,3,RI
pr,5,32227.78215026855,34151.49853515625,1.0596912,3,RI
sh,5,42489.40826416016,43358.3857421875,1.0204517,3,RI
fh,6,1082.286930084229,1065.777893066406,.98474616,3,RI
pr,6,78239.78759765625,78030.12744140625,.99732029,3,RI
sh,6,273969.0417480469,259657.6328125,.94776267,3,RI
fh,7,3230.138122558594,3257.541900634766,1.0084838,3,RI
pr,7,257637.5073242188,258464.818359375,1.0032111,3,RI
sh,7,215131.431640625,209698.6782226563,.97474682,3,RI
fh,8,2059.021980285645,2048.558429718018,.99491817,3,RI
pr,8,209242.3046875,214823.458984375,1.0266732,3,RI
sh,8,407634.5185546875,427311.26171875,1.0482706,3,RI
fh,9,808.3033103942871,801.7211952209473,.99185687,3,RI
pr,9,182513.25390625,173786.4504394531,.95218539,3,RI
sh,9,28935.46728515625,27327.88609313965,.94444251,3,RI
fh,10,2767.021705627441,2835.048290252686,1.0245848,3,RI
pr,10,55122.36376953125,55837.74755859375,1.0129781,3,RI
sh,10,39493.0732421875,42531.001953125,1.0769231,3,RI
fh,11,840.4394626617432,837.9673957824707,.99705863,3,RI
pr,11,36107.169921875,29735.31640625,.82352942,3,RI
sh,11,0,0,1,3,RI
fh,12,0,0,1,3,RI
pr,12,0,0,1,3,RI
sh,12,0,0,1,3,RI
fh,1,0,0,1,4,RI
pr,1,0,0,1,4,RI
sh,1,0,0,1,4,RI
fh,2,0,0,1,4,RI
pr,2,0,0,1,4,RI
sh,2,0,0,1,4,RI
fh,3,0,0,1,4,RI
pr,3,0,0,1,4,RI
sh,3,0,0,1,4,RI
fh,4,0,0,1,4,RI
pr,4,8236.644287109375,8236.644287109375,1,4,RI
sh,4,323.3933944702148,323.3933944702148,1,4,RI
fh,5,365.5734148025513,344.6741137504578,.94283146,4,RI
pr,5,40974.69709777832,43689.626953125,1.0662587,4,RI
sh,5,9262.950744628906,8718.0712890625,.94117647,4,RI
fh,6,993.2635688781738,987.9795379638672,.99468011,4,RI
pr,6,49664.90753173828,47617.07080078125,.95876694,4,RI
sh,6,264958.5131835938,260459.484375,.98301989,4,RI
fh,7,3900.990165710449,3927.804321289063,1.0068737,4,RI
pr,7,203036.9750976563,202600.716796875,.99785131,4,RI
sh,7,400049.984375,379699.69921875,.94913065,4,RI
fh,8,1752.389057159424,1759.889766693115,1.0042803,4,RI
pr,8,258681.0029296875,264113.1142578125,1.0209993,4,RI
sh,8,262259.4033203125,271823.7451171875,1.036469,4,RI
fh,9,1064.282421112061,1073.539541244507,1.008698,4,RI
pr,9,182854.40234375,175240.8920898438,.958363,4,RI
sh,9,75217.83935546875,70592.20626831055,.9385035,4,RI
fh,10,2250.456153869629,2315.682048797607,1.0289834,4,RI
pr,10,56388.11181640625,58887.11401367188,1.0443178,4,RI
sh,10,67282.8076171875,72458.408203125,1.0769231,4,RI
fh,11,1118.410440444946,1054.810363769531,.94313353,4,RI
pr,11,86961.7900390625,71615.591796875,.82352942,4,RI
sh,11,0,0,1,4,RI
fh,12,0,0,1,4,RI
pr,12,0,0,1,4,RI
sh,12,0,0,1,4,RI
fh,1,0,0,1,5,RI
pr,1,0,0,1,5,RI
sh,1,0,0,1,5,RI
fh,2,0,0,1,5,RI
pr,2,0,0,1,5,RI
sh,2,0,0,1,5,RI
fh,3,0,0,1,5,RI
pr,3,0,0,1,5,RI
sh,3,0,0,1,5,RI
fh,4,0,0,1,5,RI
pr,4,0,0,1,5,RI
sh,4,757.0427398681641,757.0427398681641,1,5,RI
fh,5,1113.654945373535,1150.926425933838,1.0334677,5,RI
pr,5,17964.31742095947,19040.1279296875,1.059886,5,RI
sh,5,6410.990951538086,6461.556427001953,1.0078874,5,RI
fh,6,772.2610187530518,771.8152275085449,.99942273,5,RI
pr,6,64163.09509277344,64551.84594726563,1.0060588,5,RI
sh,6,241084.9411010742,226054.2080078125,.93765378,5,RI
fh,7,3185.718887329102,3141.523170471191,.9861269,5,RI
pr,7,218865.3046875,213498.287109375,.97547799,5,RI
sh,7,456275.681640625,429937.7373046875,.94227624,5,RI
fh,8,1683.176174163818,1695.615119934082,1.0073901,5,RI
pr,8,252541.388671875,261384.212890625,1.0350153,5,RI
sh,8,365147.2006835938,384988.73828125,1.0543385,5,RI
fh,9,887.0109634399414,889.0494499206543,1.0022981,5,RI
pr,9,175402.978515625,166241.181640625,.94776714,5,RI
sh,9,39359.81787109375,37535.37701416016,.95364714,5,RI
fh,10,4278.53678894043,4326.057891845703,1.0111068,5,RI
pr,10,37783.09985351563,37552.7041015625,.99390215,5,RI
sh,10,0,0,1,5,RI
fh,11,921.8072204589844,897.848030090332,.97400844,5,RI
pr,11,208985.58203125,172105.7734375,.82352942,5,RI
sh,11,0,0,1,5,RI
fh,12,74.84142780303955,89.80971336364746,1.2,5,RI
pr,12,0,0,1,5,RI
sh,12,0,0,1,5,RI
